rank,stock_id,name,market,industry_category,signal,long_score,raw_long_score,risk_penalty,close,ret_1d,turnover,money_ma20,vol_ratio_5,intraday_pos,rsi14,macd_hist,close_vwap_diff,breakout_20d,near_limit_up,long_upper_shadow,reasons
11,6488,環球晶,tpex,半導體業,觀察偏多,71.92070501974055,84.92070501974055,13.0,1335.0,0.06374501992031867,29488279320.0,5853160326.2,3.0197842037374265,0.55,70.58823529411765,25.23631901659813,-0.00935427113283327,True,False,True,量破5日高、接近20日突破、MACD動能擴大、產業相對強、長上影扣分、收低於VWAP扣分
12,3675,德微,tpex,半導體業,觀察偏多,71.88805975987444,80.88805975987444,9.0,450.0,0.07784431137724557,355724883.0,713609538.45,1.984477447095055,0.625,69.70149253731343,3.9420530627625077,-0.005349451474835454,True,False,False,量破5日高、接近20日突破、MACD動能擴大、產業相對強、收低於VWAP扣分
13,3264,欣銓,tpex,半導體業,觀察偏多,71.76449148889938,80.76449148889938,9.0,257.0,0.04048582995951411,5001406235.0,2034500021.8,1.661172945432158,0.14705882352941177,61.78861788617886,2.6597009198223187,-0.03278298528373791,True,False,False,量破5日高、接近20日突破、MACD動能擴大、RSI健康、產業相對強、收低於VWAP扣分
14,3026,禾伸堂,twse,電子零組件業,觀察偏多,71.61527735148677,71.61527735148677,0.0,963.0,-0.0253036437246964,19432899513.0,4518003648.7,2.502454496986314,0.5581395348837209,60.80843585237258,2.082828722573737,0.009659159039773213,False,False,False,量破5日高、MACD動能擴大、RSI健康
15,6907,雅特力-KY,tpex,半導體業,觀察偏多,71.18627771186873,80.18627771186873,9.0,187.5,0.0997067448680351,1086484826.0,394783994.3,2.7979939539784224,1.0,70.35398230088495,3.0196859237357483,0.023098331333713418,True,True,False,量破5日高、接近20日突破、收在高檔、MACD動能擴大、產業相對強、近漲停過熱扣分
16,2369,菱生,twse,電子工業,觀察偏多,70.05436414870485,83.05436414870485,13.0,43.2,0.0992366412213741,1311085006.0,1053149833.8,1.8002664785208253,1.0,64.46601941747574,0.07390914892890299,0.004403282146909104,False,True,False,量破5日高、收在高檔、MACD動能擴大、RSI健康、近漲停過熱扣分
17,8131,福懋科,twse,電子工業,觀察偏多,67.98744764800796,76.98744764800796,9.0,82.2,0.09893048128342263,1802602278.0,586553369.75,2.5942558230191395,1.0,59.9388379204893,0.16050306065515585,0.011044084456660164,True,True,False,量破5日高、接近20日突破、收在高檔、MACD動能擴大、RSI健康、近漲停過熱扣分
18,2409,友達,twse,電子工業,觀察偏多,67.00955884818829,67.00955884818829,0.0,31.7,0.05666666666666664,12889868568.0,14018276185.5,0.777825754741148,0.8378378378378376,67.04035874439461,0.049075819711125845,0.009861032192023389,False,False,False,收在高檔、MACD動能擴大、RSI健康
19,2402,毅嘉,twse,電子零組件業,觀察偏多,66.94293455992778,66.94293455992778,0.0,69.1,0.02370370370370356,381010786.0,449808652.8,1.4782358049852333,0.6562499999999977,51.68539325842695,0.07910186520095822,0.0017098077638146858,False,False,False,量破5日高、MACD動能擴大、RSI健康
20,6257,矽格,twse,電子工業,觀察偏多,66.56445658320888,79.56445658320888,13.0,273.0,0.07269155206286837,6060602691.0,2722928510.05,1.6310044310528997,0.48,72.17391304347827,3.1184460834942147,-0.010670664502729355,True,False,True,量破5日高、接近20日突破、MACD動能擴大、長上影扣分、收低於VWAP扣分
21,6290,良維,tpex,電子零組件業,觀察偏多,66.55009024252679,74.55009024252679,8.0,323.0,0.02215189873417711,3329561695.0,1449851379.95,2.313897532750726,0.5,61.11111111111111,0.051697981030645046,0.002597383917825269,False,False,True,量破5日高、MACD動能擴大、RSI健康、長上影扣分
22,3374,精材,tpex,半導體業,觀察偏多,66.21243389403138,79.21243389403138,13.0,322.0,0.028753993610223683,7184597440.0,3362173105.1,1.42890898764597,0.13725490196078433,75.0,4.154506844500101,-0.033252000267951054,True,False,True,量破5日高、接近20日突破、MACD動能擴大、產業相對強、長上影扣分、收低於VWAP扣分
23,4931,新盛力,tpex,電腦及週邊設備業,觀察偏多,66.02243654822334,75.02243654822334,9.0,261.0,0.09894736842105267,2072024245.0,2357531034.3,2.5629059117640853,1.0,55.05617977528089,-3.0569734348965802,0.013537174609653091,False,True,False,量破5日高、收在高檔、RSI健康、產業相對強、近漲停過熱扣分
24,2467,志聖,twse,電子零組件業,觀察偏多,65.59213696110297,65.59213696110297,0.0,655.0,0.06504065040650397,1887631578.0,1063383184.75,1.03706021474281,0.8103448275862069,61.44927536231884,6.419720143426904,0.02436628923570594,False,False,False,收在高檔、MACD動能擴大、RSI健康
25,1727,中華化,twse,化學生技醫療,觀察偏多,65.4229331862557,74.4229331862557,9.0,101.5,0.09492988133764824,995006719.0,595462752.05,1.8952925014984674,1.0,67.94582392776525,0.06155771712222835,0.019995583065002265,False,True,False,量破5日高、收在高檔、MACD動能擴大、RSI健康、近漲停過熱扣分
26,2399,映泰,twse,電子工業,觀察偏多,65.25497602731906,74.25497602731906,9.0,55.0,0.10000000000000009,1224177172.0,648362246.1,1.7490760330990611,1.0,60.38575667655787,0.036619973917041415,0.03255790412664217,False,True,False,量破5日高、收在高檔、MACD動能擴大、RSI健康、近漲停過熱扣分
27,6727,亞泰金屬,tpex,電子零組件業,觀察偏多,64.33642702595954,77.33642702595954,13.0,489.5,0.10000000000000009,1137891739.0,718378055.5,2.049111687542936,1.0,62.287480680061826,5.611753602773085,0.005477897225510953,False,True,False,量破5日高、收在高檔、MACD動能擴大、RSI健康、近漲停過熱扣分
28,4576,大銀微系統,twse,電機機械,觀察偏多,64.12027654105717,64.12027654105717,0.0,238.5,0.07191011235955047,823238233.0,439872881.3,1.347993756587319,0.896551724137931,57.96610169491525,2.4761784702418232,0.01791690534858814,True,False,False,接近20日突破、收在高檔、MACD動能擴大、RSI健康
29,6138,茂達,tpex,半導體業,觀察偏多,64.11076986047343,73.11076986047343,9.0,440.0,0.10000000000000009,1401307812.0,900403995.25,0.6344391860317455,1.0,68.34415584415584,6.899255383527734,0.011516461880682005,True,True,False,接近20日突破、收在高檔、MACD動能擴大、產業相對強、近漲停過熱扣分
30,2049,上銀,twse,電機機械,觀察偏多,64.10357250901563,64.10357250901563,0.0,364.0,0.040000000000000036,1937975374.0,1200408016.5,1.1647500217462496,0.6486486486486487,63.52941176470588,3.4625131374575893,0.005002120321060399,True,False,False,接近20日突破、MACD動能擴大、RSI健康
31,2441,超豐,twse,半導體業,觀察偏多,64.06930202911984,73.06930202911984,9.0,145.0,0.021126760563380254,5300496440.0,1486987894.05,2.9530733466360726,0.08333333333333333,66.07142857142857,0.0695608229130622,-0.04482293077438604,False,False,False,量破5日高、MACD動能擴大、RSI健康、產業相對強、收低於VWAP扣分
32,6719,力智,twse,電子工業,觀察偏多,63.57800508925879,63.57800508925879,0.0,312.5,0.08131487889273359,2809892932.0,1524201015.4,1.0255751862542974,0.7674418604651163,68.94736842105263,2.79419564990895,-0.0020185802937205954,False,False,False,MACD動能擴大
33,8932,智通*,tpex,數位雲端類,觀察偏多,62.44405138815364,71.44405138815364,9.0,116.0,0.09952606635071093,780889147.0,557830751.35,2.1033424116443307,1.0,64.77272727272727,0.5728605930007271,0.02920718399995903,False,True,False,量比>1.8、收在高檔、MACD動能擴大、RSI健康、近漲停過熱扣分
34,6693,廣閎科,tpex,半導體業,觀察偏多,62.307098194651715,71.30709819465172,9.0,276.5,0.09940357852882697,259832525.0,393044077.0,1.2714274482254138,1.0,75.27777777777777,3.8078885530461726,0.008403780473595468,True,True,False,接近20日突破、收在高檔、MACD動能擴大、產業相對強、近漲停過熱扣分
